1,9.3,7.6,7.6,9.3
2,9,7.6,7.6,9.1
3,9.1,7.6,7.6,9
4,9,7.5,7.5,9
5,9,7.4,7.4,9
6,9,7.4,7.4,9
7,8.7,7.2,7.3,9
8,9.2,7.1,7.3,9
9,9,7.3,7.2,9
10,9.2,7.2,7.2,9
11,9.2,7.3,7.1,9
12,9,7.1,7.1,8.7
13,8.7,6.8,6.8,8.7
14,8.6,6.4,6.4,8.7
15,8.4,6.3,6.3,8.9
16,8.6,6.2,6.3,8.9
17,8.4,6.1,6.3,8.9
18,7.9,5.7,6.3,8.9
19,8.4,5.6,6.3,8.9
20,8.6,5.9,6.3,8.9
21,8.7,6,6.3,8.9
22,8.4,6,6.2,8.9
23,8.7,6.1,6.2,8.9
24,8.7,6,6.2,8.9
25,8.7,6.1,6.1,8.9
26,8.8,6.3,6.3,8.9
27,8.8,6.3,6.3,8.9
28,8.8,6.3,6.3,8.9
29,9.1,6.5,6.3,8.9
30,8.9,6.6,6.3,8.9
31,8.9,6.6,6.3,8.8
32,9.4,6.8,6.2,8.8
33,9.1,6.6,6.2,8.9
34,8.4,6.5,6.1,8.9
35,8.8,6.2,6.1,8.9
36,9.1,6.4,6.1,8.9
37,9,6.4,6.1,8.9
38,9,6.3,6.1,8.8
39,9.1,6.4,6.1,8.9
40,9.1,6.3,6.1,8.9
41,8.7,6,6,8.9
42,8.8,6,6,8.9
43,8.8,6,6,8.9
44,8.9,6.1,6,8.9
45,8.9,6.1,6,8.9
46,8.9,6,6,8.9
47,8.8,5.9,6.1,8.9
48,9,5.8,6.1,8.9
49,9,5.9,6,8.9
50,8.6,5.9,6,8.9
51,8.5,5.6,6,9
52,9.3,6.1,6,9
53,9.2,6.4,6,9
54,8.9,6.5,6,9
55,8.9,6,6,9
56,8.7,5.9,6,9
57,9,5.9,6,9
58,9,5.9,6,9
59,9,5.9,6,9
60,8.9,5.8,6,9
61,8.9,5.8,6,9
62,9,6.1,6,9
63,8.7,5.8,6,9
64,8.9,5.7,6,9
65,8.6,5.7,6,9
66,9,5.7,6,9
67,9,5.9,6,9
68,8.9,5.9,6.1,9
69,9.1,6,6.1,9
70,9.1,6.2,6.1,9
71,9.1,6.3,6.1,9.1
72,9.1,6.1,6.1,9.1
73,9.1,6,6.1,9.1
74,9.1,5.9,6.2,9.1
75,9,5.9,6.3,9.1
76,9,6,6.4,9.1
77,9.2,6.1,6.5,9.1
78,9.3,6.6,6.5,9.1
79,9.3,7,6.6,9.1
80,9.3,7.2,6.6,9.1
81,8.9,6.9,6.7,9.1
82,9.1,6.6,6.8,9.2
83,9.1,6.7,6.9,9.3
84,9.4,6.5,6.9,9.3
85,9,6.9,6.9,9.3
86,9.7,7.4,7,9.3
87,9.1,7.7,7.2,9.4
88,9.3,6.8,7.4,9.5
89,9.7,6.9,7.4,9.5
90,9.9,7.4,7.4,9.6
91,9.8,7.9,7.7,9.7
92,9.8,8.1,7.8,9.7
93,9.9,7.8,7.8,9.8
94,10.1,8.2,7.8,9.8
95,10.2,8.8,7.9,9.9
96,10.1,8,7.9,9.9
97,10,8.3,7.9,9.9
98,9.5,9.1,8,9.9
99,9.5,7.8,8.1,9.9
100,9.6,7.4,8.2,9.9
101,10.3,8.3,8.3,9.9
102,10.2,9.1,8.3,10
103,10.4,9,8.5,10
104,9.9,8.9,8.5,10.1
105,10.2,9.2,8.8,10.1
106,10.1,9.7,8.8,10.1
107,10.1,9.8,8.8,10.1
108,10.2,9.9,8.9,10.1
109,9.9,8.8,8.9,10.1
110,10.4,8.9,8.9,10.1
111,10.4,9.9,9,10.2
112,10.4,10.3,9,10.2
113,10.6,10.7,9.1,10.2
114,10.3,11.1,9.1,10.2
115,10,8.5,9.2,10.3
116,9.9,8.8,9.7,10.3
117,10.1,7.9,9.7,10.3
118,9.9,7,9.8,10.3
119,10.1,7.9,9.9,10.3
120,10.3,8.9,9.9,10.4
121,10.3,10.2,10,10.4
122,9.9,8.5,10.2,10.4
123,10.3,9,10.3,10.4
124,10.1,9.7,10.5,10.5
125,10.5,10,10.7,10.5
126,10.5,10.5,10.8,10.5
127,10.6,11.5,11.1,10.6
128,10.7,12.4,11.2,10.6
129,10.7,12.9,11.4,10.6
130,10.5,12.9,11.5,10.6
131,10.9,13.2,11.6,10.6
132,10.6,13.3,11.8,10.6
133,10.7,12,12,10.7
134,11,12.2,12,10.7
135,11.3,11.8,12.2,10.7
136,10.8,11.6,12.2,10.7
137,10.6,11.4,12.2,10.8
138,10.6,12,12.3,10.8
139,10.8,12.3,12.4,10.8
140,10.6,11.2,12.9,10.9
141,10.8,12.2,12.9,10.9
142,10.9,13.2,13.2,11
143,11,13.9,13.2,11
144,10.7,10.8,13.3,11
145,11,13.4,13.4,11.1
146,11.1,13.6,13.6,11.1
147,11.1,14.6,13.9,11.1
148,11.4,15.2,14.1,11.1
149,11.4,15.2,14.6,11.2
150,11.1,15.2,14.7,11.2
151,11.2,14.8,14.8,11.3
152,11.1,12.2,15.2,11.3
153,11.2,14.1,15.2,11.3
154,11.3,15.4,15.2,11.4
155,11.4,14.7,15.3,11.4
156,11.4,15.6,15.3,11.4
157,11.3,15.6,15.4,11.4
158,11.5,16.6,15.4,11.4
159,11.4,17.7,15.6,11.4
160,12.4,17.6,15.6,11.4
161,12,17.1,15.7,11.4
162,11.8,17.2,15.8,11.5
163,11.6,17.3,15.8,11.5
164,11.4,17.2,15.9,11.5
165,11.4,16.8,16.5,11.6
166,11.5,16.5,16.6,11.6
167,11.5,15.8,16.8,11.6
